index,Burner,Plant,Start,ignition,first_ON,temp_range,temp_begin
148,16,Plant_H,65,0.0,29.575,25.5,31.70001220703125
149,16,Plant_O,82,0.0,,32.60000610351563,28.70001220703125
150,16,Plant_O,105,0.0,,2.199981689453125,31.20001220703125
151,16,Plant_O,106,0.0,,30.600006103515632,30.70001220703125
152,16,Plant_A,195,0.0,,39.80001831054688,17.399993896484375
153,16,Plant_A,199,0.0,,19.39999389648437,17.20001220703125
154,16,Plant_A,200,0.0,,26.600006103515625,17.5
155,16,Plant_A,495,0.0,,54.80001831054688,19.39999389648437
156,16,Plant_E,9,0.0,,29.0,37.100006103515625
157,16,Plant_E,39,0.0,,27.80001831054688,35.0
158,16,Plant_E,40,0.0,,38.70001220703125,36.0
159,16,Plant_E,41,0.0,,36.699981689453125,58.70001220703125
160,16,Plant_E,42,0.0,,36.0,54.20001220703125
161,16,Plant_B,102,0.0,,6.400024414062507,32.399993896484375
162,16,Plant_B,103,0.0,,6.5,32.70001220703125
163,16,Plant_B,104,0.0,,6.100006103515632,34.70001220703125
164,16,Plant_F,19,0.0,,7.20001220703125,45.399993896484375
165,11,Plant_M,40,1.0,17.603,42.4000244140625,50.600006103515625
166,8,Plant_H,72,1.0,1.832,105.69998168945312,60.80001831054688
167,3,Plant_E,97,1.0,20.745,49.29998779296875,37.100006103515625
168,15,Plant_C,212,1.0,3.008,44.0,34.100006103515625
169,1,Plant_B,75,1.0,4.16,61.69998168945312,44.80001831054688
170,7,Plant_O,36,1.0,3.818,58.399993896484375,27.70001220703125
171,11,Plant_A,379,1.0,0.384,54.600006103515625,36.899993896484375
172,9,Plant_B,105,1.0,1.081,69.70001220703125,38.100006103515625
173,6,Plant_C,14,1.0,1.533,47.399993896484375,31.70001220703125
174,6,Plant_A,564,1.0,1.664,60.100006103515625,38.399993896484375
175,7,Plant_E,53,1.0,18.21,56.100006103515625,34.100006103515625
176,1,Plant_I,71,1.0,3.143,69.0,63.70001220703125
177,9,Plant_L,79,1.0,4.689,57.0,22.800018310546875
178,14,Plant_A,455,1.0,0.522,104.0999755859375,44.80001831054688
179,13,Plant_C,82,1.0,1.856,48.29998779296875,16.20001220703125
